# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
AFMJD6856H,AFMJD6868H,4643,3684,3204,3140.500000,98.020000,JD
AFMJD6854H,AFMJD6856H,4296,4065,3238,3157.500000,97.510000,JD
AFMGD6823H,AFMGD6808H,4137,3679,2693,2622.000000,97.360000,GD
AFMJD6854H,AFMJD6868H,4443,3684,3004,2924.000000,97.340000,JD
AFMGD6801H,AFMGD6808H,4711,3679,3267,3178.500000,97.290000,GD
AFMGD6823H,AFMGD6801H,3857,4137,2871,2789.000000,97.140000,GD
AFMPS6619H,AFMPS6618H,4486,4033,3396,3253.000000,95.790000,PS
AFMPX6982H,AFMPX6981H,4768,2830,2475,2361.000000,95.390000,PX
AFMJD6871H,AFMJD6857H,4298,3568,2743,2586.000000,94.280000,JD
AFMGD6799H,AFMPD6989H,4597,4073,3547,3173.500000,89.470000,GD-PD
AFMJD6878H,AFMJD6856H,4195,4065,3137,2801.500000,89.310000,JD
AFMJD6861H,AFMJD6855H,4446,4077,3400,3034.000000,89.240000,JD
AFMJD6878H,AFMJD6854H,4291,3717,2885,2574.000000,89.220000,JD
AFMJD6878H,AFMJD6868H,4300,3684,2861,2529.000000,88.400000,JD
AFMJD6877H,AFMJD6855H,4076,4077,3030,2641.000000,87.160000,JD
AFMJD6876H,AFMJD6855H,4461,4077,3415,2962.500000,86.750000,JD
AFMPD6998H,AFMPD6991H,4131,4005,3013,2605.500000,86.480000,PD
AFMPD6991H,AFMGD6803H,4563,3465,2905,2508.500000,86.350000,GD-PD
AFMJD6876H,AFMJD6861H,4505,4017,3399,2934.000000,86.320000,JD
AFMWD6935H,AFMWD6924H,3995,3928,2800,2410.000000,86.070000,WD
AFMPD6998H,AFMJD6858H,4237,3824,2938,2528.000000,86.040000,JD-PD
AFMJD6861H,AFMJD6877H,4561,3563,3001,2582.000000,86.040000,JD
AFMJS6682H,AFMJS6678H,4363,3623,2863,2461.500000,85.980000,JS
AFMPD6988H,AFMGD6803H,4682,3465,3024,2596.500000,85.860000,GD-PD
AFMGD6803H,AFMPD6990H,4224,3541,2642,2266.500000,85.790000,GD-PD
AFMGD6822H,AFMGD6804H,4199,3287,2363,2023.000000,85.610000,GD
AFMJD6854H,AFMJD6877H,4385,3563,2825,2415.000000,85.490000,JD
AFMJS6678H,AFMJS6687H,4418,3249,2544,2174.000000,85.460000,JS
AFMGS6756H,AFMGS6736H,3971,4046,2894,2473.000000,85.450000,GS
AFMJD6876H,AFMJD6877H,4545,3563,2985,2550.000000,85.430000,JD
AFMPD6991H,AFMJD6858H,4447,3824,3148,2688.500000,85.400000,JD-PD
AFMJD6856H,AFMJD6877H,4581,3563,3021,2580.000000,85.400000,JD
AFMPD6991H,AFMJD6877H,4520,3563,2960,2526.000000,85.340000,JD-PD
AFMGD6803H,AFMGD6819H,4122,3889,2888,2456.000000,85.040000,GD
AFMPS6610H,AFMPS6622H,3792,3997,2666,2264.500000,84.940000,PS
AFMPD6991H,AFMPX6982H,4386,3998,3261,2770.000000,84.940000,PD-PX
AFMPS6608H,AFMPS6622H,3277,3997,2151,1826.000000,84.890000,PS
AFMJD6861H,AFMGD6803H,4576,3465,2918,2475.000000,84.820000,GD-JD
AFMJS6678H,AFMGS6756H,4367,3367,2611,2214.500000,84.810000,GS-JS
AFMPD6998H,AFMGD6799H,4076,4164,3117,2643.000000,84.790000,GD-PD
AFMPD6991H,AFMPD6990H,4527,3541,2945,2496.000000,84.750000,PD
AFMGD6814H,AFMPD7006H,4196,4233,3306,2802.000000,84.750000,GD-PD
AFMPD6998H,AFMJD6876H,4137,4078,3092,2620.000000,84.730000,JD-PD
AFMJD6868H,AFMJD6877H,4389,3563,2829,2397.000000,84.730000,JD
AFMJD6856H,AFMJD6855H,4484,4077,3438,2913.000000,84.730000,JD
AFMJS6683H,AFMGS6734H,4671,4151,3699,3133.000000,84.700000,GS-JS
