	AFMGD6799H	AFMGD6801H	AFMGD6802H	AFMGD6803H	AFMGD6804H	AFMGD6805H	AFMGD6812H	AFMGD6814H	AFMGD6818H	AFMGD6819H	AFMGD6820H	AFMGD6821H	AFMGD6822H	AFMGS6734H	AFMGS6735H	AFMGS6736H	AFMGS6737H	AFMGS6738H	AFMGS6739H	AFMGS6740H	AFMGS6743H	AFMGS6745H	AFMGS6747H	AFMGS6750H	AFMGS6751H	AFMGS6752H	AFMGS6755H	AFMGS6756H	AFMJD6855H	AFMJD6856H	AFMJD6857H	AFMJD6858H	AFMJD6859H	AFMJD6861H	AFMJD6864H	AFMJD6873H	AFMJD6875H	AFMJD6876H	AFMJD6877H	AFMJD6878H	AFMJS6675H	AFMJS6676H	AFMJS6678H	AFMJS6680H	AFMJS6681H	AFMJS6682H	AFMJS6683H	AFMJS6687H	AFMJS6694H	AFMJS6695H	AFMJS6696H	AFMJS6698H	AFMJS6700H	AFMJS6702H	AFMPD6983H	AFMPD6985H	AFMPD6986H	AFMPD6987H	AFMPD6988H	AFMPD6989H	AFMPD6990H	AFMPD6991H	AFMPD6992H	AFMPD6993H	AFMPD6995H	AFMPD6998H	AFMPD7000H	AFMPD7001H	AFMPD7005H	AFMPD7006H	AFMPS6602H	AFMPS6603H	AFMPS6608H	AFMPS6610H	AFMPS6612H	AFMPS6613H	AFMPS6618H	AFMPS6622H	AFMPS6623H	AFMPS6625H	AFMPS6626H	AFMPS6627H	AFMPX6982H	AFMWD6915H	AFMWD6916H	AFMWD6917H	AFMWD6918H	AFMWD6919H	AFMWD6920H	AFMWD6921H	AFMWD6922H	AFMWD6923H	AFMWD6924H	AFMWD6926H	AFMWD6933H	AFMWD6935H	AFMWD6936H
AFMGD6799H	0	0.1794	0.1817	0.1622	0.2036	0.1912	0.165	0.1663	0.1975	0.1908	0.1872	0.1789	0.194	0.2052	0.2003	0.18	0.1845	0.187	0.2042	0.1988	0.2037	0.1942	0.2022	0.1907	0.2096	0.2245	0.186	0.169	0.1623	0.1653	0.148	0.1465	0.1728	0.1673	0.1753	0.1643	0.1775	0.1718	0.1797	0.1734	0.2096	0.2009	0.189	0.2021	0.188	0.1883	0.2052	0.195	0.2007	0.1825	0.191	0.1975	0.2158	0.2074	0.2016	0.1797	0.1726	0.1791	0.1884	0.0914	0.1563	0.146	0.1859	0.1911	0.1775	0.1359	0.1677	0.1546	0.19	0.1932	0.1981	0.1995	0.1867	0.2259	0.1982	0.1875	0.2285	0.2004	0.1876	0.1844	0.2151	0.2073	0.1677	0.1905	0.2316	0.2158	0.207	0.2282	0.1993	0.2275	0.2072	0.2013	0.256	0.1808	0.2093	0.2894	0.1844
AFMGD6801H	0.1794	0	0.1694	0.1533	0.1686	0.1947	0.1494	0.1632	0.2051	0.1606	0.1988	0.1899	0.1771	0.2016	0.2156	0.1714	0.1796	0.2005	0.2091	0.201	0.2004	0.2099	0.1861	0.1922	0.2027	0.2071	0.2056	0.1761	0.1724	0.184	0.18	0.1704	0.1803	0.1603	0.1684	0.1783	0.1758	0.1682	0.1696	0.19	0.1903	0.1902	0.1849	0.1898	0.1892	0.1871	0.1978	0.1877	0.1963	0.1777	0.1855	0.1907	0.2014	0.1742	0.1991	0.1661	0.1874	0.159	0.1695	0.1865	0.1655	0.1798	0.1854	0.175	0.1735	0.1794	0.1825	0.1892	0.164	0.1815	0.1917	0.1929	0.1654	0.2001	0.1927	0.1928	0.2203	0.1958	0.1941	0.1926	0.2044	0.1996	0.1898	0.1783	0.2275	0.2317	0.2088	0.2147	0.2101	0.2149	0.2083	0.1824	0.2301	0.1952	0.2162	0.2628	0.2069
AFMGD6802H	0.1817	0.1694	0	0.1557	0.1902	0.1877	0.177	0.1629	0.1399	0.1831	0.1723	0.1779	0.1679	0.2015	0.1929	0.1645	0.1837	0.1767	0.1956	0.1942	0.1854	0.1946	0.1831	0.1653	0.1885	0.2007	0.1901	0.154	0.1718	0.1889	0.1772	0.1832	0.1864	0.1728	0.174	0.2	0.1733	0.1602	0.1874	0.1988	0.2134	0.1868	0.162	0.1943	0.1721	0.1655	0.2066	0.1856	0.1775	0.1802	0.164	0.1846	0.1906	0.199	0.1956	0.1949	0.1826	0.1687	0.137	0.1856	0.1641	0.174	0.1642	0.1772	0.1694	0.1782	0.165	0.1867	0.1777	0.1714	0.182	0.2039	0.1626	0.1968	0.2085	0.1862	0.2164	0.2055	0.1835	0.1651	0.2097	0.2011	0.1794	0.196	0.2172	0.2261	0.2154	0.2345	0.1754	0.2013	0.2006	0.1775	0.2292	0.1605	0.2342	0.2678	0.1754
AFMGD6803H	0.1622	0.1533	0.1557	0	0.1817	0.1584	0.1389	0.1472	0.1543	0.1364	0.1568	0.1571	0.1624	0.17	0.1749	0.1506	0.1692	0.1767	0.1744	0.1811	0.1837	0.1577	0.1684	0.1571	0.1723	0.1718	0.182	0.1348	0.1502	0.1629	0.165	0.1396	0.1716	0.1298	0.1497	0.171	0.1619	0.1352	0.1341	0.1518	0.1737	0.1581	0.1582	0.1724	0.1735	0.1546	0.1749	0.1849	0.1632	0.1562	0.1599	0.1787	0.1722	0.173	0.1758	0.1711	0.1743	0.1721	0.135	0.1581	0.129	0.1295	0.1554	0.1458	0.1405	0.1534	0.1633	0.158	0.1502	0.1554	0.1623	0.163	0.1568	0.1757	0.1751	0.1661	0.1932	0.166	0.1561	0.1481	0.1751	0.174	0.1451	0.1647	0.1854	0.1957	0.1854	0.1994	0.1824	0.1952	0.174	0.178	0.2113	0.1635	0.2015	0.2444	0.1814
AFMGD6804H	0.2036	0.1686	0.1902	0.1817	0	0.2056	0.1982	0.1681	0.2106	0.1692	0.1936	0.1944	0.111	0.2136	0.2373	0.2057	0.2058	0.2193	0.2108	0.2271	0.2304	0.2092	0.1968	0.1866	0.2123	0.2168	0.2006	0.1783	0.2002	0.1854	0.1961	0.1917	0.1675	0.1805	0.1859	0.1922	0.1804	0.1818	0.1959	0.2047	0.201	0.2108	0.2123	0.1999	0.2	0.2169	0.2267	0.2125	0.1968	0.2109	0.2087	0.1973	0.2092	0.2038	0.1945	0.1811	0.1769	0.1645	0.2012	0.213	0.1712	0.197	0.1883	0.2074	0.1653	0.1973	0.1966	0.2004	0.1903	0.1787	0.1889	0.2124	0.1726	0.2122	0.2016	0.2002	0.2528	0.2076	0.2172	0.2016	0.2212	0.214	0.1852	0.1793	0.225	0.2365	0.2232	0.2277	0.2026	0.2145	0.2132	0.1778	0.25	0.1818	0.2218	0.2887	0.1984
AFMGD6805H	0.1912	0.1947	0.1877	0.1584	0.2056	0	0.1789	0.1635	0.1802	0.1762	0.1743	0.1612	0.1886	0.1743	0.1815	0.1673	0.1778	0.1743	0.1769	0.1621	0.1935	0.1661	0.1505	0.1701	0.1713	0.1873	0.1854	0.1517	0.1648	0.1968	0.1857	0.1688	0.1798	0.1563	0.1802	0.1914	0.1814	0.1706	0.1735	0.1894	0.1874	0.1676	0.1603	0.1657	0.1584	0.1646	0.1632	0.1681	0.1674	0.175	0.1635	0.1604	0.1658	0.1798	0.1803	0.1748	0.196	0.2032	0.1926	0.1843	0.158	0.1618	0.1807	0.1794	0.1723	0.1777	0.18	0.1806	0.1903	0.1823	0.1566	0.1871	0.1638	0.1818	0.1894	0.1793	0.1944	0.1674	0.1621	0.1671	0.1941	0.173	0.162	0.1795	0.2162	0.2073	0.2111	0.2119	0.185	0.209	0.1861	0.1826	0.2338	0.1819	0.2136	0.2616	0.1909
AFMGD6812H	0.165	0.1494	0.177	0.1389	0.1982	0.1789	0	0.1409	0.1679	0.1727	0.1741	0.1685	0.1693	0.2017	0.202	0.178	0.1916	0.1933	0.1828	0.1886	0.2064	0.2018	0.1773	0.196	0.1904	0.188	0.1937	0.1634	0.1558	0.1622	0.1357	0.1743	0.1789	0.146	0.1733	0.1694	0.1658	0.1565	0.1597	0.1751	0.1797	0.1798	0.1846	0.1965	0.1827	0.1707	0.1742	0.1869	0.1857	0.1721	0.1684	0.1731	0.1988	0.1846	0.2	0.147	0.1825	0.1523	0.167	0.1543	0.1447	0.1649	0.1832	0.165	0.1585	0.1674	0.1756	0.1611	0.1711	0.1804	0.1934	0.1874	0.1847	0.2194	0.1888	0.1887	0.2115	0.1918	0.1799	0.1883	0.213	0.207	0.1737	0.1947	0.2221	0.2191	0.2128	0.2225	0.1851	0.2298	0.2007	0.1995	0.231	0.1729	0.2131	0.2634	0.2041
AFMGD6814H	0.1663	0.1632	0.1629	0.1472	0.1681	0.1635	0.1409	0	0.1783	0.1473	0.1687	0.1543	0.1641	0.1885	0.1841	0.1676	0.1773	0.1794	0.1919	0.1817	0.189	0.1826	0.1667	0.1667	0.179	0.1741	0.1895	0.1608	0.1521	0.1715	0.1388	0.1683	0.1837	0.1474	0.1709	0.1711	0.1624	0.1588	0.1537	0.1803	0.1681	0.1807	0.1713	0.1681	0.1831	0.1549	0.1756	0.1424	0.1812	0.1547	0.1775	0.1649	0.1766	0.1738	0.1857	0.1519	0.1786	0.1459	0.1545	0.1709	0.1521	0.1663	0.1637	0.1709	0.1666	0.1598	0.1679	0.1673	0.1591	0.1372	0.1724	0.1712	0.1382	0.1946	0.1779	0.1545	0.179	0.167	0.1639	0.1579	0.194	0.1826	0.1679	0.181	0.2154	0.2087	0.2157	0.1954	0.1796	0.2179	0.1843	0.1616	0.2331	0.1628	0.2081	0.2572	0.1786
AFMGD6818H	0.1975	0.2051	0.1399	0.1543	0.2106	0.1802	0.1679	0.1783	0	0.1785	0.1876	0.1811	0.1851	0.194	0.1947	0.1796	0.2015	0.1875	0.2017	0.1958	0.2061	0.2045	0.1981	0.1948	0.1961	0.2251	0.1881	0.1636	0.1809	0.1957	0.2128	0.1759	0.21	0.1827	0.1964	0.2046	0.1919	0.1764	0.1908	0.1952	0.209	0.2013	0.1706	0.2215	0.202	0.1796	0.2082	0.1909	0.1928	0.1906	0.1915	0.1778	0.2097	0.1905	0.2077	0.2067	0.1995	0.1801	0.1583	0.2098	0.1621	0.1828	0.1795	0.1794	0.1849	0.1906	0.1604	0.1825	0.1965	0.1876	0.1801	0.2028	0.1713	0.2056	0.198	0.1901	0.2208	0.2057	0.1919	0.195	0.2102	0.2159	0.1896	0.2103	0.2187	0.231	0.2393	0.2444	0.1927	0.2246	0.2025	0.1838	0.2564	0.173	0.2359	0.2873	0.1917
AFMGD6819H	0.1908	0.1606	0.1831	0.1364	0.1692	0.1762	0.1727	0.1473	0.1785	0	0.1906	0.1857	0.1661	0.1956	0.21	0.1724	0.188	0.1969	0.2016	0.2048	0.2101	0.1901	0.1952	0.1866	0.1854	0.2083	0.1885	0.1806	0.1801	0.1764	0.1846	0.1662	0.1836	0.1759	0.1733	0.1982	0.1716	0.1689	0.1794	0.1924	0.1834	0.1849	0.1779	0.1891	0.1823	0.192	0.1839	0.2006	0.1976	0.1971	0.1921	0.2013	0.2002	0.1894	0.2037	0.1947	0.1741	0.1834	0.1719	0.2105	0.1761	0.169	0.1717	0.1791	0.1481	0.1837	0.1795	0.1852	0.1891	0.1815	0.1808	0.1802	0.1767	0.2147	0.1832	0.1773	0.2194	0.1832	0.1912	0.2029	0.1955	0.1957	0.1863	0.1781	0.2218	0.2086	0.2246	0.2169	0.1893	0.2175	0.2002	0.1754	0.2373	0.168	0.2183	0.2659	0.1865
